,title,year,genres,description,rating
84,Oopiri,2016,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",8
85,Baadshah,2013,"Action, Comedy            ","    Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai.",6.4
86,3,,"Drama, Mystery, Romance            ","    Ram and Janani's three stages of love - their attraction for each other during their school days, their love at college days, and the relationship when they mature, are explored in this romantic tale.",7.2
87,Sarrainodu,2016,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,6.4
88,Kick,2009,"Action, Comedy            ",    An adrenaline junkie's quest for kicks leads him to a life of crime.,7.8
89,Leader,2010,Drama            ,"    A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summary »",8
90,Anjaan,2014,"Action, Musical, Thriller            ","    Raju Bhai and Chandru head a thriving gang dismantling everyone coming their way. However when their success reaches the dreaded Imran, their lives take a turn.",5
91,Khushi,2001,"Drama, Romance            ","    While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",7.9
92,Maya Bazaar,1957,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",9.2
93,Rakhta Charitra,2010,"Action, Biography, Crime            ",    A killer bandit decides to become a politician in order to avenge deaths in his family.,7.6
94,Mirchi,2013,"Action, Drama            ","    A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",7.2
95,Chatrapathi,2005,"Action, Drama            ",    Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.,7.6
96,C/o Kancharapalem,2018,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.,9
97,Sachein,2005,"Comedy, Drama, Romance            ","    A love triangle on a college campus between two young students who try to deny their feelings for each other. The entry of a lecturer who has a soft corner for the boy, changes things around.",6.9
98,Murari,2001,"Drama, Romance, Thriller            ",    A family is under a curse due to an old sin; due to which a male is bound to die every 48 years.,7.8
99,Vikramarkudu,2006,Action            ,"    Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction.",7.7
100,Kuruthipunal,1995,"Action, Drama, Thriller            ","    Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network.",8.5
101,Brindaavanam,2010,"Action, Comedy, Drama            ",    Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summary »,7.1
102,Panjaa,2011,"Action, Thriller            ",    A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.,6.5
103,Nuvvu Naaku Nachchav,2001,"Musical, Comedy, Family            ","    Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",8.7
104,Gopala Gopala,2015,"Comedy, Drama, Fantasy            ",    An atheist sues god after losing his shop in an earthquake.,7.3
105,Kaappaan,2019,"Action, Thriller            ","    A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.",6.4
106,Aagadu,2014,"Action, Comedy            ",    An encounter specialist is transferred as CI to a village which is ruled by a local gangster,5.4
107,Masss,2015,"Action, Comedy, Horror            ","    After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice.",6
108,Maanagaram,2017,"Action, Thriller            ",    Four youngsters arrive in a big city and their lives become interlinked.,8.1
109,Drushyam,2014,"Crime, Drama, Family            ","    Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime.",8.3
110,Yamadonga,2007,"Action, Comedy, Fantasy            ","    A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve.",7.3
111,S/O Satyamurthy,2015,"Action, Drama            ",    A rich businessman's son faces multiple challenges after he becomes the sole breadwinner of his family.,6.9
112,Tholi Prema,1998,"Drama, Romance            ","    Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summary »",8.2
113,Awe!,2018,Thriller            ,    Unusual(multiple) persons tend to meet at a Restaurant and their life-changing moments take place in order to know about a single person.,7.8
114,Yatra,2018,"Biography, Drama, Romance            ",    An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,8.2
115,Fidaa,2017,"Drama, Romance            ","    Varun and Bhanu, both from different worlds, face challenges in their relationship.",7.5
116,Oosaravelli,2011,"Action, Thriller            ","    A youngster, who does anything for money, avenges on those who killed the family of Niharika.",6.6
117,Evaru,2019,"Crime, Drama, Thriller            ",    Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,8.2
118,Odiyan,2018,"Action, Drama, Fantasy            ","    The story of the Odiyan clan, one of the most dreaded, shape-shifting black magicians in the world which ruled the darkness of night through during the pre-electrification era in Kerala.",5.5
119,Khaidi No 150,2017,"Action, Drama            ",    A man (Chiranjeevi) on the wrong side of the law is moved by the plight of farmers to do the right thing.,6
120,NGK,2019,"Action, Drama            ","    An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?",6
121,Duvvada Jagannadham,2017,"Action, Comedy            ","    Trained by a high profile cop, an encounter specialist masquerading as a Brahmin priest takes on a real estate crime organization after losing his uncle.",5.6
122,Bale Bale Magadivoy,2015,"Comedy, Romance            ",    An easily distracted scientist (Nani) goes to great lengths to make sure that his girlfriend (Lavanya Tripati) and her family members don't find out about his mental condition.,7.8
123,Shiva,1989,"Action, Crime, Drama            ","    Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo.",8.1
124,Manmadhudu,2002,"Comedy, Romance            ",    A misogynist is forced by circumstances to work with a woman.,8.3
125,Mr Perfect,2011,"Drama, Romance            ","    Vicky (Prabhas), an expert in gaming software, lives in Australia and never compromises in his life, a principle he adheres to since his childhood. He believes that one should be oneself in...                See full summary »",7.1
126,Orange,2010,"Comedy, Drama, Romance            ","    A man, who doesn't believe that love can last a lifetime, pursues an exuberant romantic, but their clashing ideologies keep them apart.",6.6
127,Anirudh,2016,"Action, Drama, Family            ","    To consolidate his position in the family, a man tries to arrange a marriage for his daughter, but the suitable boy he has in mind is already in love with another.",4.3
128,Gamyam,2008,Drama            ,"    Two guys, one a thief and the other filthy rich, meet each other in a journey started by the latter in search of his love.",8.3
129,Kanche,2015,"Action, Drama, History            ","    A rivalry between two men, based on caste and social status, extends from an Indian village to war torn Europe during WW2.",7.9
130,Naayak,2013,Action            ,    A young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers.,5.5
131,Malliswari,2004,"Comedy, Romance            ","    When her father dies, a wealthy heiress is sent to another city to protect her from people who try to harm and manipulate her. Living under an assumed identity, she meets a handsome banker and falls in love with him.",7.8
132,Nuvvostanante Nenoddantana,2005,Romance            ,"    Before he can marry his sweetheart, a wealthy city boy from England is challenged to prove his work ethic on a farm in rural India.",7.7
133,Ye Maaya Chesave,2010,Romance            ,"    Karthik finishes engineering school and aspires to become a filmmaker. His friend Krishna takes him to director Puri Jagannath and pleads with him to take him as his assistant. Meanwhile, ...                See full summary »",7.7
134,Sagara Sangamam,1983,"Musical, Romance, Drama            ","    A classical dancer, Balakrishna, (Kamal Haasan) faces many struggles, but is eventually redeemed.",8.8
135,Rudhramadevi,2015,"Action, Biography, History            ",    Queen Rudrama Devi's reign in southern India during the 13th century is herein recounted.,5.8
136,Cameraman Gangatho Rambabu,2012,"Action, Drama            ",    A fast-paced socially relevant political drama that revolves around the struggles of an ordinary citizen against crime and political corruption.,5.7
137,Majili,2019,"Drama, Romance            ",    A former cricket player nursing his wounds of a failed relationship takes up the task of training his ex-lover's daughter and in the process discovers his feelings towards his wife and her unrequited love for him.,7.2
138,Uttama Villain,2015,"Comedy, Drama            ","    Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story.",7.2
139,Arundhati,2009,"Horror, Mystery, Thriller            ","    A brave queen battles an evil mystic. Three generations later, he comes back to haunt the queen's descendants.",7.3
140,Agnyaathavaasi,2018,"Action, Drama            ","    An exiled heir to billionaire, returns after his father was murdered, as a regular employee to find out the killers and make things right in his company.",4.5
141,Pilla Zamindar,2011,"Comedy, Drama            ",    PJ has to go through a rough journey of living like a common man and graduating from a village-based college to inherit his grandfather's wealth.,7.7
142,100% Love,2011,"Comedy, Drama, Romance            ","    When his cousin Mahalakshmi comes to stay, Balu is challenged to an extent rare in his charmed life. Will Balu let himself be seduced by Mahalakshmi's bubbly spirit and sharp brain, or will his ego prove an insurmountable barrier?",7
143,Aa Naluguru,2004,Drama            ,    A man fights for his philosophy: that human relations are more important than money.,8.5
144,Darling,,"Comedy, Drama, Romance            ","    To save himself from an unwanted marriage to a gangster's daughter, a man tells the story of reuniting with his childhood sweetheart in Switzerland.",7.3
145,Aha Naa Pellanta,1987,Comedy            ,    Krishnamurthy (Rajendra Prasad) is the only son of industrialist Satyanarayana (Nutan Prasad). He wants his son to get married to a girl whom he has chosen because of his bitter experience ...                See full summary »,8.9
146,Vinaya Vidheya Rama,2019,Action            ,"    When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire.",3.3
147,Happy,2006,"Action, Comedy, Drama            ",    An orphan working as a Pizza delivery boy and the daughter of a caste-based politician are forced to get married in an unforeseen situation.,7
