,title,year,genres,description,rating
1007,Rowdy Inspector,1992,"Action, Drama            ",    Inspector Ramaraju (Nandamuri Balakrishna) is a sincere police officer or who people call a Rowdy Inspector which is his titular role. Auto Rani (Vijayashanti) is an auto driver who falls ...                See full summary »,5.9
1008,Sontham,2002,Action            ,nan,6.9
1009,Annai Oru Aalayam,1979,"Adventure, Drama            ","    Rajinikanth catches forest animals through traps and sells them. Rajni's mother will tell him to stop his business, but he will not listen. Later he traps a elephant calf and the mother elephant comes in search of its calf.",6.9
1010,Wanted,,"Action, Drama            ","    Ram Babu (Gopichand) is the only son of cute couple Ram Babu and Janaki (Chandramohan and Jayasudha), who have earned so much for their son to lead a happy life without doing any work. In ...                See full summary »",4
1011,Panchakshari,2010,"Drama, Fantasy, Thriller            ","    Possessed by Devi Maa, a blessed woman predicts her own death, leaving her shattered family to deal with a look-alike.",3.8
1012,Snehamante Idera,2001,"Comedy, Drama            ",    Chandru and Aravind's friendship of many years is put to the test when a dark secret from their past is uncovered,4.3
1013,Soggadi Pellam,1996,Drama            ,nan,4.1
1014,Bhale Donga,1989,"Action, Comedy, Drama            ",nan,3.3
1015,1st Rank Raju,2019,"Comedy, Drama, Romance            ","    Raju is an engineering student who is obsessed with academics and very little else. When he is eventually forced to face the real world that lies beyond books, Raju stumbles on to a long ...                See full summary »",5.3
1016,Dongodu,2003,Comedy            ,"    Watch the full movie, Dongodu, only on Eros Now. Dongodu is a 2003 Indian Telugu film, directed by Bhimaneni Srinivasa Rao and produced by Rushita Sai. The film stars Ravi Teja, Kalyani and...                See full summary »",4.9
1017,Devullu,2001,Drama            ,"    Two unhappy kids get away from home, to visit all the important temples in India and fullfill all the owes made by their grandmother. So that their divorced parents will get unite.",7
1018,Sardar Papa Rayudu,1980,"Action, Drama            ",    Paparayudu gets jailed for a murder that he didn't commit. So he tries to prove his innocence and he gets rid of all his enemies too.,5.9
1019,Srinivasa Kalyanam,1987,Drama            ,nan,7.9
1020,Pourudu,2008,Action            ,    Ajay tries to stay on an honest path even though his father is the chief henchman of a powerful crimelord,5.4
1021,Amrutha Ramam,2020,Drama            ,"    Amrutha Ramam is a heartfelt love story based on a series of true experiences. The film depicts the lives of Amrutha and Ram, and how together they find the meaning of selfless love.",8
1022,Prematho Raa,2001,Romance            ,nan,5.8
1023,Bumper Offer,2009,Romance            ,    Crazy love story between rich girl (Aishwarya) and poor boy (Sai).,4.9
1024,Mangamma Gari Manavadu,1984,Drama            ,    Veeranna and Malli loves each other. But things changes a lot when Veeranna returns home from military service.,7.5
1025,Yudda Bhoomi,1988,"Action, Drama            ","    Army Office Vijay comes to his village for a vacation. On seeing the bad state of his village, he stands up against the atrocities that people face because of the evil landlord rayudu.",7.7
1026,Rayalaseema Love Story,2019,Drama            ,    Rayalaseema Love Story is a thrilling combination of romance and action directed by Ram Ranadheer.,6.2
1027,Soggadu,2005,Romance            ,    A romantic story with plenty of action drama about a rudderless youth who finds a new purpose with his newfound love.,4.8
1028,Budget Padmanabham,2001,"Comedy, Drama            ",nan,5.7
1029,Swargam Narakam,1975,"Comedy, Drama            ",nan,8.1
1030,Manmatha Leelai,1976,"Comedy, Musical, Romance            ",    It is about a married man involving in romantic escapades outside marriage and learns his mistakes in the end.,7.5
1031,Emo Gurram Egaravachu,2014,Drama            ,"    In order to obtain a US visa, Bullebbai agrees to marry a woman who has an agenda of her own",5.6
1032,Ayyare,2012,"Drama, Family            ",    Venkatesam (Shivaji) is a mechanic who runs his own garage. He is a carefree and fun loving guy who loves to enjoy life. He comes across Anjali (Anisha Singh) and it is love at first sight ...                See full summary »,6.9
1033,Valayam,2020,Mystery            ,"    When his wife goes missing, Arvind must solve the mystery of her disappearance before time runs out and he becomes the prime suspect.",7
1034,Babai Abbai,1984,"Comedy, Romance            ",nan,7.6
1035,Two Town Rowdy,1989,"Action, Drama, Romance            ",nan,8
1036,State Rowdy,1989,"Action, Crime, Drama            ","    The story of aspiring police officer, Prithviraj, who lives a poor lifestyle with his widowed mother; loves Radha, his neighbor, who is employed as the Secretary in the Police Department. ...                See full summary »",7.3
1037,Aradhana,1987,"Musical, Romance            ",    An illiterate thug is inspired to change his ways when he meets a pretty schoolteacher.,7.5
1038,Idhi Mamulu Prema Katha Kaadu,2012,Romance            ,    Life as seen through the eyes of two adolescents.,6.7
1039,Rey,2015,"Action, Music            ",    An aspiring dancer joins a Jamaican college and teams up with a local in order to win a dance competition. She meets the two-time winner who creates horrible obstacles for her.,5
1040,Prema Yuddham,1990,Romance            ,nan,8.4
1041,Samudram,1999,"Action, Crime, Drama            ","    A.K. Sagar lives a middle-classed lifestyle near Versova, Mumbai, along with his widowed mother, and sister, Chandi. He gets in the bad books of Adi Koli, the brother of to-be M.L.A. Baba ...                See full summary »",6.7
1042,Kabaddi Kabaddi,2003,"Comedy, Drama, Romance            ","    Mambully Madhavan Kutty (Kalabhavan Mani) has quite a few old scores to settle with Mambully Vijayan (Mukesh), his illegitimate brother. Despite his lesser standing, Vijayan gets to set ...                See full summary »",6.7
1043,Sruthilayalu,1987,"Drama, Family, Musical            ",nan,7.8
1044,Rikshavodu,1995,"Action, Drama            ",nan,5.8
1045,Muthyala Muggu,1975,Family            ,    A boy and a girl decide to bring their separated parents back together. To do that they must overcome a devious villain who masterminded their separation.,7.4
1046,Napoleon,2017,"Drama, Mystery            ",    The curious case of a missing shadow. Napoleon (Anand Ravi) visits a police station and lodges a complaint that his shadow is missing. This unique case becomes the talk of the town. ...                See full summary »,7.4
1047,Bazaar Rowdy,1988,Action            ,"    Bazaaru Rowdi is a 1988 Indian Telugu movie directed by Raj Koti and produced by U. Surayanarayana babu. The film stars Ramesh Babu, Gautami & Mahesh Babu in the lead roles. The film had ...                See full summary »",7.4
1048,Pelli Sandadi,1996,"Musical, Romance            ",    A musician finds the love of his life whom he saw in a dream but his marriage has already been arranged to another girl.,7.4
1049,Idi Ma Prema Katha,2017,Romance            ,"    Idhi Maa Prema Katha is a Telugu movie starring Anchor Ravi and Meghana Lokesh in prominent roles. The movie also stars Prabhas Sreenu, Priyadarshi Pulikonda, Tulasi Shivamani and Vizag ...                See full summary »",8.1
1050,Babu Baga Busy,2017,Comedy            ,    A man's sexual affairs with different woman in different stages of life comes to an end when he meets a girl accidentally.,6.4
1051,Rogue,,"Action, Thriller            ","    A young man falls for the commissioner's sister, Anjali, who betrays him. After finishing his time behind bars, he sets on a mission to save another girl named Anjali who is chased by a gangster.",5.9
1052,Bhanumathi & Ramakrishna,2020,"Comedy, Drama, Romance            ",    Bhanumathi Ramakrishna is a romantic comedy which gives a glimpse into the lives of the two characters - Bhanumathi (played by Salony) and Ramakrishna (played by Naveen). Ramakrishna ...                See full summary »,7.5
1053,S. P. Parasuram,1996,"Action, Drama            ",    A strict Police officer tries to go after criminals but ends up as the bodyguard of a minister whom he had jailed in the past for being a rowdy sheeter.,6
1054,Ala Ela,2014,"Comedy, Romance            ",    A romantic comedy that involves a dying grandfather's wish for his grandson to marry a village girl chosen for him by the grandfather. The reluctant grandson agrees to meet the girl ...                See full summary »,7.3
1055,Kevvu Keka,2013,Comedy            ,"    A girl lies to her father that her boyfriend, a salesman, is rich. But he breaks the alliance on learning the truth. She then challenges him that her boyfriend will become a millionaire in ...                See full summary »",5.4
1056,Mantra,2007,"Crime, Thriller            ",    Mantra wants to sell her ancestral home. The place is haunted and the buyer wants someone to stay in the house for 3 months. Mantra decides to stay in the home and rest of the story is how they uncover the mystery of the home.,6.8
1057,Runam,2019,Romance            ,nan,8.8
1058,Choopulu Kalasina Subhavela,1988,"Comedy, Drama            ","    ""Anand Mohan (Mohan) works as a manager in a company owned by Pandurangam (Suthi Veerabhadra Rao). Padma (Ashwini) daughter of Pandurangam's brother Nagalingam (Nutan Prasad) stays in his ...                See full summary »",7.7
1059,Manoharam,2000,"Action, Drama            ","    The film begins with the ISI moles scheming to destabilize India right in the opening shot, followed by their devastating bomb blasts in Coimbatore and Hyderabad. Basha (Mukesh Rishi) an ...                See full summary »",7.1
1060,Agni,,nan,nan,8.5
1061,Appu Chesi Pappu Koodu,1959,"Comedy, Drama            ",    Ramadasu wants his son to marry Manjari to acquire her father's properties. But Manjari and Raja love each other. So they both decide to teach a lesson to Ramadasu and his son.,8
1062,Siddu from Srikakulam,2008,Comedy            ,nan,5.4
1063,Nachavule,2008,Romance            ,"    A story of teenage romance with a hard-hitting message that nothing in life should be taken for granted, especially love and the ones you love.",7.3
1064,Yagnam,2004,Action            ,    Seenu (Gopichand) is a loyal servant and a right-hand of faction leader Reddeppa (Devaraj). He and Sailaja (Sameera Benarjee) - daughter of Reddeppa - grew together. Nayudamma (Vijaya ...                See full summary »,6.3
1065,Mee Sreyobhilashi,2007,Drama            ,nan,7.6
1066,Kadapa Redamma,1990,Action            ,nan,8.4
1067,Ghatotkachudu,1995,"Comedy, Drama, Fantasy            ","    A young girl is targetted for murder by greedy relatives, but protected by a second-tier Hindu God!",7.2
1068,Jagadeka Veeruni Katha,1961,"Drama, Fantasy            ",    The story of a young prince named Prathap who dreams of marrying a Devakanya.,7.9
1069,Kanyasulkam,1955,Drama            ,    Kanyasulkam is an adaptation of the popular Telugu play of same title. The film deals with prejudices of contemporary Indian society such as child marriages.,7.9
1070,Snehamera Jeevitham,2017,Action            ,    It's about friendship between two friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival where a tiny misunderstanding leads to a war between two close friends.,8.3
1071,Kobbari Matta,2019,Comedy            ,    Kobbarimatta is a Comedy Spoof Telugu Film. Pedharayudu (Sampoornesh) is a village headman. He got misunderstandings with his Son Androidu and other family members. How they solved those problems and united is rest of the story.,5.8
1072,Dhruvanakshatram,1989,"Action, Drama            ",nan,8.2
1073,Per Sollum Pillai,1987,"Action, Drama, Family            ","    Per Sollum Pillai has Kamal Haasan, Ramu as an orphan, who is adopted by a wealthy family. He gets adopted into the family when he saves the entire family from being deliberately poisoned ...                See full summary »",6.9
1074,Vivaha Bhojanambu,1988,Comedy            ,nan,7.6
1075,Shanti Kranti,1991,"Action, Drama, Musical            ",nan,6.9
1076,Sukumarudu,2013,Drama            ,"    Suku sees relationships as a means to an end. So when he sets out to establish his company, he looks to his grandmother's property as a solution to his money woes.",5.3
1077,Fitting Master,2009,"Action, Comedy, Crime            ",    Will Meghna continue to love Sampath after he kills her brother?,5.5
1078,Operation Duryodhana,2007,"Action, Crime, Drama            ","    Based on 2005 sting operation in Andhra Pradesh, where a police officer unearth the political scams.",5.8
1079,Prema,1989,"Drama, Romance            ","    Magi, a Christian girl, falls in love with Pridhvi, a Hindu boy. Consequently, the couple face numerous hurdles on their way. Will they overcome the obstacles and unite?",7.7
1080,Mooga Manasulu,1964,Drama            ,"    This film is based on "" Reincarnation """,7.7
1081,Ontari Poratam,1989,Action            ,nan,7.9
1082,Tandra Paparayudu,1986,"Action, Biography, Drama            ",    The story of an Indian Freedom fighter who fought the French even before the British could establish their authority in India,7.9
1083,Nireekshana,1982,"Drama, Romance            ",    A forest officer sentenced for 20years who loved a tribal girl in forest.,7.4
1084,Premaabhishekam,1981,"Drama, Musical, Romance            ","    Rajesh loves Devi but discovers that he has cancer. He decides to avoid her and acts rude so that she can marry Prasad, her brother's friend.",7.7
1085,Savaari,2020,Romance            ,"    Raju who rents his Badshah for weddings, meets Baagi who has been in quench of real love after her step-parents try to get her married against her wish. How did she escape that marriage is the crux of the story.",6.7
1086,Surya IPS,1991,"Crime, Action            ",nan,7
1087,Maharasan,1993,"Comedy, Drama            ","    Watch the full movie, Maharasan, only on Eros Now. Maharasan is a 1993 Indian Tamil film, directed by G.N. Rangarajan and produced by Kamal Hassan. The film stars Kamal Hassan, Bhanupriya ...                See full summary »",6.3
1088,Chakravarthy,1987,"Action, Crime, Drama            ","    Anji and his sister Laxmi take care of the orphanage run by Swamiji. As Anji and Swamiji face charges for crimes they did not commit, Anji in a disguise,as chakravarthy, sets out on a quest for truth.",8
1089,Lover,,Romance            ,    Lover is a Telugu movie starring Raj Tarun and Riddhi Kumar in prominent roles. It is a romantic drama directed by Anish Krishna.,5.8
1090,Jadoogadu,2015,Action            ,    Backdrop of the story is about a go lucky village guy who goes to city determined to get rich and how he achieves it with his philosophy of working hard.,5.5
1091,Allari Alludu,1993,Drama            ,nan,7.5
1092,Pandava Vanavasamu,1965,"Drama, Fantasy            ","    The story of this film is based on the epic book "" The Mahabharata """,8.1
1093,Mechanic Alludu,1993,Comedy            ,"    Ravi, unemployed, joins as a Mechanic in Jagannatham's Garage. Later, Ravi discovers that Jagannatham is his uncle and he was framed for murder by his father Narayana. Ravi then joins hands with Jagannatham to teach his father a lesson.",6.3
1094,Kondaveeti Simham,1981,"Action, Drama, Family            ","    The story of a sincere police officer who do anything for justice. But in this process, he faces several hurdles from his enemies and from his own son too. He need to overcome them.",7.5
1095,Malini 22,2013,"Drama, Thriller            ",    A wronged girl turns avenging angel.,5.1
1096,Bobbili Simham,1994,Drama            ,nan,7.7
1097,Show,2002,"Comedy, Drama            ","    About life, its contradictions. ""Life is a drama and we are all actors"" is reflected in this film.",7
1098,Varasudochhadu,1988,Family            ,"    Nirmalamma's son runs away from home as a child. Years later, finding himself ill he asks Venkatesh to go to his home in his place. Once there Venkatesh sets about teaching a lesson to his ...                See full summary »",7.8
1099,Family Circus,2001,"Drama, Family            ",nan,6.6
1100,Edurinti Mogudu Pakkinti Pellam,1991,Comedy            ,"    Badhalabandee Vara Prasad alias Bava is a very big miser, his wife Jayalakshmi (Divyavani) is a spendthrift woman. Jaya not able to tolerate her husband's stingy attitude and leaves the ...                See full summary »",7.5
1101,Adavi Ramudu,1977,"Action, Drama, Romance            ","    A forest officer in an undercover operation, raises all the tribal people and the villagers against the smugglers to teach them a lesson and gets them arrested.",7.2
1102,Donga,1985,"Action, Drama            ","    When her husband is attacked by the goons, Sharada hides baby Chiranjeevi in a bush and runs away to escape the goons. He was found of an elephant who raises him as his own child in the ...                See full summary »",7.2
1103,Aakhari Poratam,1988,"Action, Drama, Thriller            ",    The story is about CBI officer Pravallika (Sridevi) trying to expose the illegal activities of a notorious criminal Anantananda Swamy (Amrish Puri). Stage artiste Vihari (Akkineni Nagarjuna) helps Pravallika in this mission.,7.2
1104,Rough,2014,Romance            ,    A man is challenged by the brother of his beloved to get her to fall in love with him.,4.9
1105,Paathshala,2014,Drama            ,"    Four young people take a road trip after college. Their attempt at a last hurrah before reality sets in is unsuccessful, however, because reality follows them on the road, which becomes a school of sorts.",7.3
1106,Kathi Kanta Rao,2010,Comedy            ,nan,6.5
1107,Pelli Chesukundam,1997,Drama            ,nan,6.8
1108,Black Tiger,1989,nan,nan,7.9
1109,Sri Krishna Pandaveeyam,1966,"Drama, Musical            ","    This film is mainly based on the adhi parva and the first half of the sabha parva in the epic book "" The Mahabharata """,7.9
1110,Nakshatram,2017,Action            ,    A police aspirant dons the uniform of a sincere police officer who goes missing and unfolds the nexus behind the officer's sudden disappearance.,4.3
1111,Subhalagnam,1994,Drama            ,nan,7.7
1112,Hai Hai Nayaka,1989,Comedy            ,nan,7.7
1113,Om Shanti,2010,Romance            ,    Anand (Navdeep) is a bachelor who works in a software company. Everything goes well for him and he is happy. He wants to settle down in life by getting married and meets Anjali (Aditi ...                See full summary »,5.1
1114,Pellaina Kothalo,2006,Drama            ,    A prosperous couple struggle for dominance.,6.2
1115,Anukunnadi Okkati Ayyindhi Okati,2020,"Comedy, Crime, Drama            ","    The story of four metropolitan girls who are very close to each other from childhood. A Journalist, a fashion designer working for movies, a software engineer and a home maker are these girls.",5.6
1116,Grahanam,2004,Drama            ,nan,8
1117,Chinnabaabu,1988,Drama            ,nan,8.2
1118,Karthavyam,1990,"Action, Drama            ",    Vyjayanthi (Vijaya Santhi) is an Assistant Superintendent of Police and a sincere cop who strives to confront a corrupt local leader Muddukrishnayya and his son's atrocities. Karthavyam is ...                See full summary »,7
1119,Raakshasudu,1986,"Action, Drama            ",    The film opens with a widowed woman giving birth to a baby boy. The landlord does not approve of this and has the baby disposed of. A drunkard finds the baby and keeps him for a couple of ...                See full summary »,7.4
1120,Neeya,1979,"Drama, Fantasy, Musical            ","    After Kamal's friends accidentally kill a female serpent, another female serpent follows them and kills them one-by-one, before disguising herself into a human being to kill Kamal.",6.2
1121,D for Dopidi,2013,"Comedy, Crime            ",nan,5.8
1122,Mugguru Kodukulu,1988,"Action, Drama            ",nan,7.5
1123,Balachandrudu,1990,Drama            ,nan,7.4
1124,Vinodam,1996,Comedy            ,"    Ashta Lakshmi (Ravali) is the only daughter of Bangaram (Kota Srinivasa Rao), a wealthy miser. She meets four friends who live carefree lives, living in a rented house owned by Chintamani (...                See full summary »",7.2
1125,Vijay,1989,"Action, Drama            ",nan,8
1126,Sri Shirdi Saibaba Mahathyam,1986,Drama            ,"    During the Devrajya it was Bhagwan Shri Vishnu who ruled the universe in the form of Bhagwan Shri Ram; then during the Manavraj, where he ruled as Bhagwan Shri Kishan; in the Kalyug (dark ...                See full summary »",7.7
1127,Anthuleni Katha,1976,"Drama, Family            ",    The story of an elder sister trying to run a family devoid of father and a useless brother.,7.7
1128,Mithai,2019,"Crime, Drama, Romance            ",    The Dude abides but he must help two losers find the thief in a twisted plot of love and fate.,4.4
1129,Tiger,,"Action, Crime, Romance            ","    Tiger, an aggressive young man, can do just about anything for his best friend Vishnu. When Vishnu falls in love with Ganga, the lives of the lovers are in danger. Will Tiger be able to save them?",5.7
1130,Luv U Alia,2015,"Family, Romance            ",    Can a boy in love win over his beloved's heart and change her views on love and commitment?,5.2
1131,Brother of Bommali,2014,"Action, Drama            ","    Naresh And Karthika Are Brothers And Sisters Karthika Is A Great Fighter Too,She Fight Well And She Is Well Practised Karate In Her Small Age . After They Two Grown up, Naresh Met A Girl ...                See full summary »",5.8
1132,Mr. Pellikodukku,2013,"Comedy, Drama            ","    A guy falls in love with a girl, but she doesn't want to marry him.",5.2
1133,Broker,2010,Drama            ,nan,7.3
1134,Current,2009,Romance            ,    A college boy (Sushanth) falls in love with Sneha(Sneha Ullal).His trails to convince her to prove his love is the remaining part,5.6
1135,Evadi Gola Vadide,2005,"Comedy, Drama, Romance            ",    A lot of hilarious sequences happen when Veera Shankar runs away to Bangkok inorder to escape his marriage.,6.4
1136,Bangaru Bullodu,1993,"Action, Drama, Romance            ","    A fearless boy in the village who questions the wrong doings of his Uncle. He plans to marriage his uncles daughter Rani from his childhood. Meanwhile his another uncle's daughter, a city ...                See full summary »",7.3
1137,Karma,,"Drama, Mystery, Thriller            ","    The words ""Kali-Yuga"" are heard in the language of traditional Indians. The Sanskrit definitions describe it to mean that this is Age of Iron, of machines, of evil. It is said that mankind ...                See full summary »",7.1
1138,Murali Krishnudu,1988,"Comedy, Romance            ","    Murali Krishnudu is a 1988 Indian Telugu film, Directed by Kodi Ramakrishna and Produced by S Gopal Reddy. The film Stars Nagarjuna, Rajani and G.Maruthi Rao in lead roles. The music of the film was composed by K V Mahadevan.",8.1
1139,Varasudu,1993,"Action, Drama            ",nan,7
1140,Seetha Rama Kalyanam,1961,"Drama, Musical            ",    The film depicts the life of Lord Rama from birth to his marriage with Seetha.,7.7
1141,Rendu Rella Aaru,1985,Comedy            ,nan,7.4
1142,Sampoorna Ramayanam,1972,"Drama, Family, Fantasy            ",    This film depicts the complete life of Sri Rama.,7.7
1143,Chuttalabbayi,2016,Action            ,"    A loan recovery agent assists a young woman run away from home, without realizing that she is the sister of a police commissioner, who thinks that they are eloping together. What will the future hold in store for them?",6.1
1144,Columbus,2015,Comedy            ,"    Ashwin(Sumanth Ashwin) is a college going youth who falls in love with Indu(Mishti). As time passes by, Ashwin leaves all his career goals behind and lives life with only Indu's point of ...                See full summary »",6.9
1145,Raagala 24 Gantallo,2019,Thriller            ,    A happy wife is accused of her husband's suspicious death.,5.7
1146,Andala Ramudu,2006,Comedy            ,nan,5.6
1147,Brahma Puthrudu,1988,Drama            ,"    Sridevi's mother is devastated after her husband deserts her. In search for her father, Sridevi finds help from Shakthi.",7.9
1148,Alibaba Aradajanu Dongalu,1994,Comedy            ,nan,7.1
1149,Thipparaa Meesam,2019,Romance            ,"    An extremely talented DJ working in a local night pub, who is also a spoiled brat, gets involved in an adventure where he must fight against all odds to survive.",6.4
1150,Sitaara,1983,"Drama, Romance            ","    Sitaara becomes a film star with the help of Devdas who likes her. She had loved Raju who is believed dead. When her past about her brother gets exposed, she is dejected. Devdas learns that Raju is alive and strives to get them reunited.",7.6
1151,Chettaniki Kallu Levu,1981,"Action, Drama, Crime            ","    As a young boy, Chiranjeevi sees the murder of his father and sister, but the killers are released because of lack of evidence. This enrages him and he is out to seek revenge in a way not ...                See full summary »",7.8
1152,Manasuku Nachindhi,2018,Romance            ,"    Nithya (Amyra Dastur) and Suraj (Sundeep Kishen) are best friends who live together in Goa. While Nithya loves nature and finds solace in it, Suraj is an aimless youth, who likes to party. ...                See full summary »",6.1
1153,Om 3D,2013,"Action, Thriller            ","    Arjun shares a deep bond with his father Harishchandra, an influential man with many enemies. As Arjun sets out to thwart the plans of the enemies to kill his father, he learns a shocking truth.",5.5
1154,Action,2013,Comedy            ,"    Bava (Allari Naresh), Ajay (Kick Shyam), Shiva (Vaibhav) and Purush (Raju Sundaram) are thick friends. They grow up together and share everything in life. While Bava is an easy going person...                See full summary »",5
1155,Dongala Bandi,2008,Comedy            ,nan,6
1156,Sultan,1999,Family            ,nan,5.7
1157,Love Today,2004,"Drama, Romance            ",nan,7.8
1158,Samanyudu,2006,Action            ,    Chandra is the editor of the newspaper 'Addam'. He has a gang of friends who help him with the operations. Chandra is a victim of home minister Raju who murdered his father. Chandra wants ...                See full summary »,7.2
1159,Sathruvu,1990,"Action, Drama            ","    Shatruvu / Satruvu is the story of Ashok (Venkatesh), a junior lawyer who works for advocate Durga Prasad (Vijay Kumar), a fighter of justice. Durga Prasad gathers evidence against ...                See full summary »",7.5
1160,Gandeevam,1994,Drama            ,"    The story opens with Chakravarthy (Akkineni Nageswara Rao), a millionaire who has everything in his life. He is a successful businessman and has achieved everything in his life, but he ...                See full summary »",6.5
1161,Punnami Naagu,1980,"Drama, Horror            ","    Naagulu is forced to consume poison since childhood by his father making him immune to the snake bite. On every full moon day , Naagulu searches for a woman and kills her . One day, he ...                See full summary »",7.4
1162,Jyothi Lakshmi,2015,Drama            ,    Jyothi Lakshmi revolves around the life of a small time heroine struggling in the film industry and the perspectives of various people who have a low opinion about girls working in the film industry.,5.8
1163,Avakai Biryani,2008,"Family, Romance            ","    Lakshmi, a Brahmin girl who dreams to be an entrepreneur, and, Akbar, a Muslim auto driver who hopes to become a commerce graduate , fall in love. Challenges they overcome that stand in their way to become ONE.",6.9
1164,Lorry Driver,1990,"Action, Crime            ","    When a lorry driver helps the cops catch the man responsible for the murder of a bank manager, he unearths a counterfeit money scam. Unfortunately, this does not go down well with the mastermind behind the scheme.",7.3
1165,Padaharella Vayasu,1978,Drama            ,    Angara satyam is the producer of this movie,7.7
1166,Prananiki Pranam,1990,"Action, Drama, Family            ",nan,8.2
1167,Akasa Veedhilo,2001,"Drama, Family            ",nan,4.9
1168,Totti Gang,2002,Comedy            ,"    Best buddies since childhood. They form a band that does multi purpose jobs like acting as band of boys for marriages, professional catchers of dogs, and cremation service guys.",6.7
1169,Allari,2002,"Comedy, Romance            ",    A coming of age story of triangular romance between a boy and two girls that explores the twin emotions of true love and teenage infatuation in a boy who perpetually finds himself in complicated situations both at home and outside.,6.7
1170,Savitri,2016,"Comedy, Drama, Family            ","    Savitri is a girl who is fascinated with wedding ceremonies. When she gets engaged, she travels to Shirdi and in the train she meets a doctor Rishi, who falls in love with her. Meanwhile, ...                See full summary »",5.9
1171,Peddinti Alludu,1991,"Comedy, Romance            ",nan,8.5
1172,143,2004,"Action, Romance, Thriller            ","    A man elopes with his childhood sweetheart, but soon fate separates them. The woman finds herself with a Communist guerrilla group and the man lands up at the house of a journalist, both thinking that the other is no more.",5.2
1173,Superman,1980,"Fantasy, Musical, Sci-Fi            ",    An alien orphan is sent to earth where he becomes a superhero.,4.9
1174,Abhinandana,1988,"Drama, Romance            ",    She loves someone but marries someone else. All three lives struggle until a solution is found.,7.5
1175,Justice Chowdhary,1982,"Action, Drama            ",    A sincere lawyer R. K. Chowdhary faces a lot of problems from a gangster Papa Rao after winning a case against him.,6.9
1176,Gharana Bullodu,1995,"Comedy, Romance            ",nan,6.4
1177,Intlo Ramayya Veedilo Krishnayya,1982,"Comedy, Drama, Romance            ",nan,7.6
1178,Anna Thamudu,1990,"Action, Drama            ",nan,7.5
1179,Krishnamma Kalipindi Iddarini,2015,"Drama, Romance            ",    This film is the remake of the hit Kannada film - Charminar. This is the journey of love of a young boy. The film shows how love can inspire and aspire to be the best and give the best to ...                See full summary »,7.3
1180,Nandhi,2002,"Action, Drama            ","    A murderer, wants an honest peaceful life, go to law college to complete his graduation.",7.2
1181,Sons of Ram,2012,"Animation, Drama, Musical            ","    Surayavanshi Ram of Ayodhya, the greatest warrior king that ever lived, was forced to send his beloved wife Sita into exile, thus leading him and his kingdom to despair and towards an empty...                See full summary »",6.5
1182,Kondapalli Raja,1993,"Action, Drama            ",nan,6.9
1183,Bava Nachadu,2001,"Comedy, Drama, Romance            ",    A happy marriage lands in trouble after the wife's sister develops an infatuation with her brother-in-law.,3.9
1184,Seema Simham,2002,"Action, Drama            ",nan,5
1185,Sandade Sandadi,2002,"Comedy, Drama            ",nan,6.1
1186,Donga Ramudu,1988,Action            ,nan,7.5
1187,Vetagadu,1979,"Action, Drama            ",    Raja and Roja love each other. But Roja's father disagrees their relationship as he misunderstands that Raja's father cheated him. So Raja need to prove his father's innocence.,6.9
1188,Sher,2015,Action            ,    A working-class hero with the heart of a tiger rubs a gangster the wrong way; the two struggle for dominance for the duration of the movie.,4.8
1189,Kaamannana Makkalu,2008,"Action, Comedy, Drama            ","    Three thieves Kaamanna and his adopted sons Krishna and Rama, decide to mend their ways.",6.8
1190,Vinayakudu,2008,"Comedy, Romance            ","    Karthik and Kalpana do not get along very well initially but eventually they become friends. When Kalpana breaks off with Rajeev, she gets close to Karthik. But a small misunderstanding ruins all.",7.1
1191,Dongaata,1996,Drama            ,    A thief finds an innocent lady in the train who travels from her home town to city to meet her loved one. In the mean while the thief gets closer to the lady to rob her necklace. Later she ...                See full summary »,6.9
1192,90 ML,,"Action, Drama, Romance            ",    Devadas(Kartikeya) an MBA gold medalist falls in love with Suvasana (Neha Solanki) a physiotherapist. How Devadas faced heroine and her family (Who're anti alcoholic) after they get to know...                See full summary »,4.9
1193,Kathanam,2019,"Mystery, Thriller            ",    Anu (Anasuya Kasaba) an aspiring director develops a script on a producer's request. Twist in the tale arises when the murders scripted in the story start happening in real life. The parallel story is crux of Kathanam.,3.9
1194,Ramudu Bheemudu,1964,"Comedy, Drama            ",    The story of two look alikes Ramudu and Bheemudu.,7.5
1195,Patel S.I.R,2017,Action            ,"    Subhash Patel(Jagapati Babu) is a retired military officer who leads a happy and pleasant life with his family. Because of some unexpected events in his life, he targets DR's (Kabir Singh) ...                See full summary »",5.4
1196,Nagarahaavu,2016,Fantasy            ,    A woman is reborn as a snake to avenge her own murder.,5.5
1197,Selfie Raja,2016,Comedy            ,"    Selfie Raja is a comedy entertainer about a guy, who runs into a host of problems because of his addiction to selfies.",5.6
1198,Wish You Happy Breakup,2016,"Comedy, Drama, Romance            ","    The story unfolds with 'Someone' about to commit suicide after the girl he loves ditches him. As he prepares to kill himself, he receives a call from his friend who suggests watching a ...                See full summary »",7.4
1199,Lovers,2014,Romance            ,"    All efforts to get a partner in life by Siddhu (Sumanth Ashwin) are thwarted by Chitra (Nanditha), who he has never seen. Siddhu falls in love with a girl, who he does not realize is the ...                See full summary »",6.6
1200,Ramudochhadu,1996,"Action, Comedy, Drama            ",    A rivalry between two influential families creates a rift between the villagers.,6.2
